# Norwegian stocks on Oslo Børs
# Ticker,Name,Price

HPUR,Hexagon Purus,5.72
HUDL,Huddlestock Fintech,1.44
HYARD,Havyard Group,8.88
IDEX,IDEX Biometrics,0.41
IOX,Interoil Exploration and Production,0.84
ITERA,Itera,10.90
JIN,Jinhui Shipping and Transportation,6.74
KAHOT,Kahoot!,35.00
KCC,Klaveness Combination Carriers,90.00
KID,Kid,164.00
KMCP,KMC Properties,6.12
KOMPL,Komplett,8.48
KRI,Kristiania,20.00
LIFE,Lifecare,2.94
MEDI,Medistim,248.00
MELG,Melhus Sparebank,175.00
MORG,Morrow Bank,7.78
MULTI,Multiconsult,223.00
NAVA,Navamedic,38.20
NKR,Nekkar,12.60
NOAP,Nordic Aqua Partners,67.40
NOM,Nordic Mining,21.80
NORTH,North Energy,2.82
NRC,NRC Group,16.80
NTI,Norsk Titanium,2.36
ODF,Odfjell,142.00
OET,Odfjell Technology,69.40
OLT,Olav Thon Eiendomsselskap,266.00
OTEC,Otello Corporation,12.10
OTS,Ocean Team,1.25
PEN,Panoro Energy,40.50
PEXIP,Pexip Holding,46.80
PHLY,Philly Shipyard,90.20
PLT,PoLight,3.16
PPG,Pioneer Property Group,94.00
PROT,Protector Forsikring,467.40
QEC,Questerre Energy,1.84
QFR,Quantafuel,1.20
REACH,Reach Subsea,10.92
RECSI,REC Silicon,2.08
RIVER,Havila Shipping,9.60
ROM,RomReal,1.58
SAGA,Saga Pure,1.28
SATURN,Saturn Oil & Gas,21.70
SCANA,Scana,3.24
SDSD,S.D. Standard ETC,1.82
SHLF,Shelf Drilling,17.90
SIOFF,Siem Offshore,42.40
SKUE,Skue Sparebank,224.00
SOGN,Sogn Sparebank,175.00
SOON,SpareBank 1 Østfold Akershus,350.00
SOR,Sparebanken Sør,174.00
SPIR,Spir Group,9.30
SSG,Self Storage Group,37.80
SVEG,Sparebanken Vest,152.00
TECH,Techstep,4.08
TECO,TECO 2030,0.15
TIETO,Tietoevry,174.20
TRE,Treasure,29.00
VEI,Veidekke,154.00
VOLUE,Volue,42.50
WSTEP,Webstep,22.00
XXL,XXL,1.04
ZAL,Zaptec,15.35
ZWIPE,Zwipe,0.28
2020,2020 Bulkers,142.00
ABG,ABG Sundal Collier,9.34
ABL,ABL Group,13.80
AGLX,Agilyx,24.20
AKH,Aker Horizons,2.52
AKOBO,Akobo Minerals,4.96
ANDF,Andfjord Salmon,42.80
AQUIL,Aquila Holdings,1.76
ARGEO,Argeo,13.20
ASTK,Asetek,5.40
BALT,Baltic Sea Properties,62.00
BCS,Bergen Carbon Solutions,7.14
BGBIO,BerGenBio,6.70
BLUEN,BlueNord,598.00
BMA,Byggma,44.00
BOUV,Bouvet,70.10
BRB,BRAbank,3.88
BSP,Black Sea Property,0.62
CARAS,Carasent,12.45
CIRCIO,Circio Holding,9.32
DGB,DigiPlex,15.00
DLTX,DLTx,0.95
ECIT,ECIT,8.70
ELO,Elopak,47.20
ENSU,Ensurge Micropower,0.12
FROG,Frogner,20.00
